PWGTP,AGEP,GASP,GRPIP,JWAP,JWDP,JWMNP,FER,HHL,HISPEED,JWTRNS,SCH,SCHL,SEX,state
56,64,110,0,0,0,0,0,1,1,0,1,22,2,05
74,39,3,0,0,0,0,2,3,1,11,1,19,2,05
68,44,3,0,94,43,60,0,3,1,1,1,19,1,05
64,19,3,0,0,0,0,2,3,1,0,1,18,2,05
59,17,3,0,0,0,0,2,3,1,0,3,14,2,05
61,15,3,0,0,0,0,0,3,1,0,3,12,1,05
55,11,3,0,0,0,0,0,3,1,0,3,7,2,05
138,2,3,0,0,0,0,0,3,1,0,0,0,2,05
96,57,30,0,87,43,25,0,1,1,1,1,22,2,05
101,55,30,0,90,45,30,0,1,1,1,1,18,1,05
127,37,40,37,248,136,20,0,1,1,1,1,12,1,05
142,37,40,37,0,0,0,2,1,1,0,1,16,2,05
5,50,3,0,0,0,0,0,1,2,0,1,15,1,05
65,58,3,0,80,31,50,0,1,2,1,1,16,1,05
142,32,3,0,68,25,20,0,1,2,1,1,17,1,05
87,14,3,0,0,0,0,0,1,2,0,2,10,1,05
103,48,3,13,90,47,20,2,1,1,1,1,20,2,05
63,21,3,13,82,39,20,0,1,1,1,1,16,1,05
65,49,60,0,75,35,6,2,1,1,1,1,21,2,05
100,49,60,0,73,33,7,0,1,1,1,1,19,1,05
59,22,60,0,86,42,25,0,1,1,1,1,21,1,05
100,17,60,0,180,109,11,2,1,1,1,2,13,2,05
166,93,10,0,0,0,0,0,1,1,0,1,16,2,05
128,67,3,0,0,0,0,0,1,1,0,1,22,2,05
35,39,100,0,86,46,5,2,1,2,1,1,18,2,05
30,40,100,0,72,31,10,0,1,2,1,2,16,1,05
27,17,100,0,0,0,0,2,1,2,0,2,13,2,05
37,14,100,0,0,0,0,0,1,2,0,2,11,1,05
47,3,100,0,0,0,0,0,1,2,0,2,2,2,05
84,63,3,0,0,0,0,0,2,1,0,1,22,1,05
66,55,3,0,0,0,0,0,2,1,0,1,22,2,05
145,22,3,0,0,0,0,0,2,1,0,3,21,1,05
46,70,300,0,0,0,0,0,1,0,0,1,16,2,05
17,79,3,23,0,0,0,0,1,2,0,1,17,2,05
121,58,4,0,0,0,0,0,3,1,0,1,19,1,05
90,57,4,0,94,49,30,0,3,1,1,1,21,2,05
42,61,3,0,0,0,0,0,1,1,0,1,16,2,05
34,57,3,0,0,0,0,0,1,1,0,1,11,1,05
104,42,50,0,91,43,45,0,1,1,1,1,21,1,05
116,42,50,0,92,49,20,2,1,1,1,1,21,2,05
84,18,50,0,0,0,0,0,1,1,11,1,16,1,05
67,15,50,0,0,0,0,0,1,1,0,2,13,1,05
102,13,50,0,0,0,0,0,1,1,0,2,9,2,05
61,67,80,31,0,0,0,0,1,1,0,1,16,1,05
103,67,80,31,0,0,0,0,1,1,0,1,18,2,05
70,67,10,0,0,0,0,0,1,2,0,1,14,2,05
69,14,10,0,0,0,0,0,1,2,0,2,12,2,05
76,6,10,0,0,0,0,0,1,2,0,2,5,1,05
9,71,40,0,0,0,0,0,1,0,0,1,20,1,05
791,36,3,0,81,41,8,0,1,1,1,1,21,1,05
681,41,3,0,85,43,15,2,1,1,1,1,22,2,05
86,36,120,0,99,52,40,1,1,1,1,1,22,2,05
64,39,120,0,91,49,15,0,1,1,1,1,19,1,05
55,8,120,0,0,0,0,0,1,1,0,3,5,1,05
55,5,120,0,0,0,0,0,1,1,0,1,1,1,05
128,1,120,0,0,0,0,0,1,1,0,0,0,1,05
130,0,120,0,0,0,0,0,1,1,0,0,0,2,05
105,13,120,0,0,0,0,0,1,1,0,2,9,2,05
39,80,200,0,0,0,0,0,1,1,0,1,16,1,05
28,77,200,0,0,0,0,0,1,1,0,1,17,2,05
137,42,3,0,78,35,20,2,1,1,1,1,20,2,05
273,45,3,0,263,140,35,0,1,1,1,1,11,1,05
394,11,3,0,0,0,0,0,1,1,0,2,8,2,05
39,54,60,0,0,0,0,0,1,1,0,1,18,1,05
147,51,60,0,94,49,30,0,1,1,1,1,19,2,05
108,17,60,0,108,67,10,2,1,1,1,2,14,2,05
139,12,60,0,0,0,0,0,1,1,0,2,10,1,05
14,64,100,0,0,0,0,0,1,2,0,1,16,2,05
118,59,3,0,106,61,30,0,4,1,1,1,18,1,05
102,60,3,0,113,73,5,0,4,1,10,1,16,2,05
23,37,3,0,92,45,40,2,1,1,1,1,16,2,05
25,27,3,0,89,49,5,0,1,1,1,1,17,1,05
26,18,3,0,89,49,5,0,1,1,1,1,16,1,05
18,16,3,0,0,0,0,0,1,1,0,2,13,1,05
26,10,3,0,0,0,0,0,1,1,0,2,7,2,05
65,74,80,66,0,0,0,0,1,2,0,1,19,1,05
38,76,50,0,0,0,0,0,1,1,0,1,18,1,05
48,69,50,0,0,0,0,0,1,1,0,1,16,2,05
66,82,3,0,0,0,0,0,1,0,0,1,16,1,05
68,84,3,0,0,0,0,0,1,0,0,1,16,2,05
70,71,3,0,0,0,0,0,1,1,0,1,16,1,05
79,69,3,0,0,0,0,0,1,1,0,1,18,2,05
55,52,3,0,0,0,0,0,1,2,0,1,16,1,05
73,45,3,0,0,0,0,2,1,2,0,1,18,2,05
134,23,50,0,180,106,40,0,1,2,1,1,15,1,05
98,71,50,0,0,0,0,0,1,2,0,1,16,1,05
60,73,60,0,104,61,20,0,1,1,1,1,19,2,05
67,74,60,0,0,0,0,0,1,1,0,1,16,1,05
221,79,3,0,0,0,0,0,1,2,0,1,13,2,05
173,77,3,0,0,0,0,0,1,2,0,1,17,1,05
60,47,180,0,0,0,0,2,1,1,0,1,19,2,05
71,50,180,0,92,43,50,0,1,1,1,1,16,1,05
80,14,180,0,0,0,0,0,1,1,0,2,11,1,05
78,11,180,0,0,0,0,0,1,1,0,2,7,1,05
64,40,3,15,137,88,9,2,1,1,1,2,17,2,05
80,32,3,15,82,37,30,0,1,1,1,1,13,1,05
35,68,70,0,0,0,0,0,1,1,0,1,18,1,05
15,51,20,0,77,25,65,0,1,1,1,1,16,1,05
29,50,20,0,69,19,55,2,1,1,1,1,20,2,05
391,30,3,36,53,15,15,0,2,1,1,1,20,1,05
283,28,3,36,0,0,0,2,2,1,0,2,10,2,05
338,7,3,36,0,0,0,0,2,1,0,2,4,1,05
613,4,3,36,0,0,0,0,2,1,0,1,1,1,05
11,67,50,0,0,0,0,0,1,1,0,1,21,2,05
15,69,50,0,0,0,0,0,1,1,0,1,16,1,05
26,73,40,0,106,61,30,0,1,1,1,1,21,2,05
32,84,40,0,0,0,0,0,1,1,0,1,19,1,05
34,41,40,0,106,65,10,0,1,1,1,1,18,1,05
36,42,40,0,0,0,0,2,1,1,0,1,16,2,05
48,60,130,0,0,0,0,0,1,0,0,1,17,1,05
31,27,70,22,84,43,10,2,1,1,1,2,19,2,05
25,27,70,22,69,29,5,0,1,1,1,1,16,1,05
